state_name,shootings,state_population,shootings_per_100000
Alabama,92,4903185,1.8763314049949165
Alaska,35,731545,4.784394671551306
Arizona,247,7278717,3.3934551927214645
Arkansas,72,3017804,2.3858408299544966
California,741,39512223,1.8753690471933204
Colorado,178,5758736,3.0909560709155617
Connecticut,16,3565287,0.4487717258105729
Delaware,13,973764,1.335025735188403
District of Columbia,13,705749,1.8420146539350393
Florida,322,21477737,1.499226850575552
Georgia,154,10617423,1.450446120494587
Hawaii,23,1415872,1.624440627401347
Idaho,39,1787065,2.182349271011407
Illinois,98,12671821,0.7733695101911556
Indiana,87,6732219,1.292293076027384
Iowa,32,3155070,1.014240571524562
Kansas,49,2913314,1.6819333583678244
Kentucky,72,4467673,1.6115772125668104
Louisiana,85,4648794,1.8284312017267275
Maine,11,1344212,0.8183233001937195
Maryland,76,6045680,1.2570959759696179
Massachusetts,28,6892503,0.4062384883981915
Michigan,50,9986857,0.5006580148288896
Minnesota,61,5639632,1.0816308581836545
Mississippi,51,2976149,1.7136238810624063
Missouri,127,6137428,2.0692707107928596
Montana,30,1068778,2.8069440052096883
Nebraska,24,1934408,1.240689658024574
Nevada,90,3080156,2.9219299282244147
New Hampshire,9,1359711,0.661905360771517
New Jersey,43,8882190,0.48411484104708413
New Mexico,100,2096829,4.769106112134085
New York,88,19453561,0.4523593392489941
North Carolina,139,10488084,1.3253135653757158
North Dakota,7,762062,0.9185604320908273
Ohio,134,11689100,1.1463671283503434
Oklahoma,150,3956971,3.7907783504099473
Oregon,76,4217737,1.801914154438743
Pennsylvania,78,12801989,0.6092803235497234
Rhode Island,4,1059361,0.37758611087249766
South Carolina,72,5148714,1.398407446985791
South Dakota,17,884659,1.921644385011626
Tennessee,109,6829174,1.596093466061928
Texas,455,28995881,1.5691883961035706
Utah,55,3205958,1.7155558494528
Vermont,7,623989,1.1218146473735915
Virginia,75,8535519,0.8786811909152801
Washington,142,7614893,1.864766845706171
West Virginia,41,1792147,2.2877587608605765
Wyoming,14,578759,2.4189688626872323
