,state_name,shootings,state_population
0,Alabama,92,4903185
1,Alaska,35,731545
2,Arizona,247,7278717
3,Arkansas,72,3017804
4,California,741,39512223
5,Colorado,178,5758736
6,Connecticut,16,3565287
7,Delaware,13,973764
8,District of Columbia,13,705749
9,Florida,322,21477737
10,Georgia,154,10617423
11,Hawaii,23,1415872
12,Idaho,39,1787065
13,Illinois,98,12671821
14,Indiana,87,6732219
15,Iowa,32,3155070
16,Kansas,49,2913314
17,Kentucky,72,4467673
18,Louisiana,85,4648794
19,Maine,11,1344212
20,Maryland,76,6045680
21,Massachusetts,28,6892503
22,Michigan,50,9986857
23,Minnesota,61,5639632
24,Mississippi,51,2976149
25,Missouri,127,6137428
26,Montana,30,1068778
27,Nebraska,24,1934408
28,Nevada,90,3080156
29,New Hampshire,9,1359711
30,New Jersey,43,8882190
31,New Mexico,100,2096829
32,New York,88,19453561
33,North Carolina,139,10488084
34,North Dakota,7,762062
35,Ohio,134,11689100
36,Oklahoma,150,3956971
37,Oregon,76,4217737
38,Pennsylvania,78,12801989
39,Rhode Island,4,1059361
40,South Carolina,72,5148714
41,South Dakota,17,884659
42,Tennessee,109,6829174
43,Texas,455,28995881
44,Utah,55,3205958
45,Vermont,7,623989
46,Virginia,75,8535519
47,Washington,142,7614893
48,West Virginia,41,1792147
49,Wyoming,14,578759
